,dqn,dqn with ep,dqn with tn,dqn with ep and tn
0,1.0,1.0,1.0,1.0
1,2.0,2.0,2.0,2.0
2,3.0,3.0,3.0,3.0
3,4.0,4.0,4.0,4.0
4,5.0,5.0,5.0,5.0
5,6.0,6.0,6.0,6.0
6,7.0,7.0,7.0,7.0
7,8.0,8.0,8.0,8.0
8,9.0,1.0,9.0,9.0
9,10.0,2.0,10.0,1.0
10,1.0,3.0,1.0,2.0
11,2.0,4.0,2.0,3.0
12,3.0,5.0,3.0,4.0
13,4.0,6.0,4.0,5.0
14,5.0,7.0,5.0,6.0
15,6.0,8.0,6.0,7.0
16,7.0,9.0,7.0,8.0
17,8.0,10.0,8.0,9.0
18,9.0,11.0,9.0,10.0
19,10.0,12.0,1.0,1.0
20,1.0,13.0,2.0,2.0
21,2.0,1.0,3.0,3.0
22,3.0,2.0,4.0,4.0
23,4.0,3.0,5.0,5.0
24,5.0,4.0,6.0,6.0
25,6.0,5.0,7.0,7.0
26,7.0,6.0,8.0,8.0
27,8.0,7.0,9.0,9.0
28,9.0,8.0,10.0,10.0
29,10.0,9.0,1.0,1.0
30,1.0,10.0,2.0,2.0
31,2.0,1.0,3.0,3.0
32,3.0,2.0,4.0,4.0
33,4.0,3.0,5.0,5.0
34,5.0,4.0,6.0,6.0
35,6.0,5.0,7.0,7.0
36,7.0,6.0,8.0,8.0
37,8.0,7.0,9.0,9.0
38,9.0,8.0,1.0,1.0
39,10.0,9.0,2.0,2.0
40,1.0,10.0,3.0,3.0
41,2.0,11.0,4.0,4.0
42,3.0,1.0,5.0,5.0
43,4.0,2.0,6.0,6.0
44,5.0,3.0,7.0,7.0
45,6.0,4.0,8.0,8.0
46,7.0,5.0,1.0,9.0
47,8.0,6.0,2.0,1.0
48,9.0,7.0,3.0,2.0
49,1.0,8.0,4.0,3.0
50,2.0,9.0,5.0,4.0
51,3.0,10.0,6.0,5.0
52,4.0,1.0,7.0,6.0
53,5.0,2.0,8.0,7.0
54,6.0,3.0,9.0,8.0
55,7.0,4.0,10.0,9.0
56,8.0,5.0,1.0,10.0
57,9.0,6.0,2.0,1.0
58,1.0,7.0,3.0,2.0
59,2.0,8.0,4.0,3.0
60,3.0,9.0,5.0,4.0
61,4.0,10.0,6.0,5.0
62,5.0,11.0,7.0,6.0
63,6.0,12.0,8.0,7.0
64,7.0,13.0,1.0,8.0
65,8.0,14.0,2.0,9.0
66,9.0,1.0,3.0,1.0
67,10.0,2.0,4.0,2.0
68,1.0,3.0,5.0,3.0
69,2.0,4.0,6.0,4.0
70,3.0,5.0,7.0,5.0
71,4.0,6.0,8.0,6.0
72,5.0,7.0,9.0,7.0
73,6.0,8.0,10.0,8.0
74,7.0,9.0,1.0,9.0
75,8.0,10.0,2.0,1.0
76,9.0,1.0,3.0,2.0
77,10.0,2.0,4.0,3.0
78,1.0,3.0,5.0,4.0
79,2.0,4.0,6.0,5.0
80,3.0,5.0,7.0,6.0
81,4.0,6.0,8.0,7.0
82,5.0,7.0,9.0,8.0
83,6.0,8.0,1.0,9.0
84,7.0,9.0,2.0,10.0
85,8.0,10.0,3.0,1.0
86,9.0,11.0,4.0,2.0
87,1.0,12.0,5.0,3.0
88,2.0,1.0,6.0,4.0
89,3.0,2.0,7.0,5.0
90,4.0,3.0,8.0,6.0
91,5.0,4.0,9.0,7.0
92,6.0,5.0,10.0,8.0
93,7.0,6.0,1.0,9.0
94,8.0,7.0,2.0,10.0
95,1.0,8.0,3.0,11.0
96,2.0,9.0,4.0,12.0
97,3.0,10.0,5.0,13.0
98,4.0,11.0,6.0,1.0
99,5.0,12.0,7.0,2.0
